shortName;regularMarketTime;regularMarketPrice;regularMarketDayHigh;regularMarketDayLow;regularMarketVolume;symbol;earningsPerShare
TRAN PAULISTPN      N1;2024-07-16T14:13:59,000Z;25,73;25,86;25,65;454200;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-16T14:15:03,000Z;42,04;42,37;41,72;58100;ORVR3;1,3348965
COSAN       ON      NM;2024-07-16T14:15:56,000Z;14,37;14,43;14,29;957400;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-16T14:12:21,000Z;10,21;10,23;10,19;2933500;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-16T14:16:02,000Z;21,38;21,46;21,2;510100;KLBN11;None
COPASA      ON      NM;2024-07-16T14:15:51,000Z;20,43;20,44;20,28;95200;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-16T14:15:10,000Z;27,11;27,11;26,71;185500;SAPR11;None
PORTO SEGUROON      NM;2024-07-16T14:15:23,000Z;30,76;30,83;30,68;83300;PSSA3;4,0028974
TIM         ON      NM;2024-07-16T14:16:02,000Z;16,95;16,96;16,59;1356800;TIMS3;1,1721633
TELEF BRASILON;2024-07-16T14:12:45,000Z;49,26;49,56;49,1;313100;VIVT3;3,072659
FII RIZA TX CI;2024-07-17T14:14:41,000Z;94,6;94,76;94,27;6244;RZTR11;None
FIAGRO XP CACI;2024-07-17T14:14:57,000Z;8,1;8,12;8,07;20256;XPCA11;None
FII BEES CRICI;2024-07-17T14:15:59,000Z;66,87;66,87;66,81;1796;BCRI11;None
FII XP CRED CI;2024-07-17T14:16:08,000Z;87,65;87,68;87,59;1897;XPCI11;None
FII MERITO ICI;2024-07-17T14:15:27,000Z;101,4;101,55;101;6258;MFII11;None
FII TG ATIVOCI;2024-07-17T14:16:09,000Z;119,9;120,04;119,68;8296;TGAR11;None
FII BC FUND CI  ER;2024-07-17T14:16:08,000Z;51,6;51,64;51,3;3981;BRCR11;None
FII VINCI OFCI;2024-07-17T14:14:58,000Z;6,22;6,23;6,17;40527;VINO11;None
FII BC FFII CI  ER;2024-07-17T14:13:47,000Z;8,62;8,63;8,6;50031;BCFF11;None
FII XP SELECCI;2024-07-17T14:16:11,000Z;7,76;7,8;7,75;9118;XPSF11;None
FII BTLG    CI;2024-07-17T14:14:59,000Z;101,45;102;101,39;20118;BTLG11;None
FII VBI LOG CI;2024-07-17T14:15:33,000Z;114,78;115,41;114,17;5919;LVBI11;None
FII VINCI LGCI;2024-07-17T14:15:58,000Z;91,57;91,87;91,1;4235;VILG11;None
FII XP LOG  CI;2024-07-17T14:14:48,000Z;103,26;103,63;102,11;9804;XPLG11;None
FII HEDGEBS CI;2024-07-17T14:15:38,000Z;217,56;217,82;217;2492;HGBS11;None
FII VINCI SCCI;2024-07-17T14:15:00,000Z;114,7;114,81;113,67;10840;VISC11;None
FII XP MALLSCI;2024-07-17T14:16:10,000Z;114,1;114,16;113,76;28955;XPML11;None
FII TRX REALCI;2024-07-17T14:16:10,000Z;107,99;108,23;107,97;11123;TRXF11;None
BRASIL      ON      NM;2024-07-17T14:11:28,000Z;27,03;27,15;26,97;1792500;BBAS3;4,0604768
BTGP BANCO  UNT EJ  N2;2024-07-17T14:11:55,000Z;32,01;32,24;31,84;535600;BPAC11;None
ELETROBRAS  ON      N1;2024-07-17T14:16:14,000Z;38,86;39,07;38,75;410300;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-17T14:12:49,000Z;26;26,4;25,95;409700;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-17T14:16:07,000Z;42,09;42,49;41,56;56300;ORVR3;1,3348965
COSAN       ON      NM;2024-07-17T14:16:07,000Z;14,38;14,39;14,26;987600;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-17T14:14:53,000Z;10,23;10,26;10,18;3482800;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-17T14:15:55,000Z;21,51;21,54;21,33;280900;KLBN11;None
COPASA      ON      NM;2024-07-17T14:13:27,000Z;20,62;20,65;20,53;103500;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-17T14:16:10,000Z;27,2;27,28;26,98;151000;SAPR11;None
PORTO SEGUROON      NM;2024-07-17T14:16:14,000Z;30,74;30,83;30,63;65200;PSSA3;4,0028974
TIM         ON      NM;2024-07-17T14:16:12,000Z;16,98;17;16,84;619400;TIMS3;1,1721633
TELEF BRASILON;2024-07-17T14:13:15,000Z;49,37;49,4;48,9;181800;VIVT3;3,072659
FII RIZA TX CI;2024-07-18T14:13:18,000Z;95,12;95,18;94,65;6479;RZTR11;None
FIAGRO XP CACI;2024-07-18T14:14:53,000Z;8,22;8,22;8,1;65131;XPCA11;None
FII BEES CRICI;2024-07-18T14:14:53,000Z;67,15;67,3;67,02;1747;BCRI11;None
FII XP CRED CI;2024-07-18T14:11:05,000Z;88,02;88,03;87,6;2556;XPCI11;None
FII MERITO ICI;2024-07-18T14:08:21,000Z;101,1;101,5;100,98;1828;MFII11;None
FII TG ATIVOCI;2024-07-18T14:16:01,000Z;120,24;120,5;119,9;15114;TGAR11;None
FII BC FUND CI  ER;2024-07-18T14:16:02,000Z;51,35;51,49;51,17;2492;BRCR11;None
FII VINCI OFCI;2024-07-18T14:14:30,000Z;6,25;6,27;6,22;24832;VINO11;None
FII BC FFII CI  ER;2024-07-18T14:13:59,000Z;8,65;8,66;8,62;106371;BCFF11;None
FII XP SELECCI;2024-07-18T14:15:58,000Z;7,79;7,82;7,79;8107;XPSF11;None
FII BTLG    CI;2024-07-18T14:14:59,000Z;101,74;101,75;101,33;18929;BTLG11;None
FII VBI LOG CI;2024-07-18T14:16:00,000Z;116,14;116,69;115,85;4680;LVBI11;None
FII VINCI LGCI;2024-07-18T14:16:03,000Z;91,38;91,52;91,22;1715;VILG11;None
FII XP LOG  CI;2024-07-18T14:14:09,000Z;103,51;103,89;103,34;7872;XPLG11;None
FII HEDGEBS CI;2024-07-18T14:15:57,000Z;218,53;220,2;218,48;2376;HGBS11;None
FII VINCI SCCI;2024-07-18T14:14:59,000Z;114,8;114,8;113,97;7144;VISC11;None
FII XP MALLSCI;2024-07-18T14:16:07,000Z;113,53;113,9;113,13;30421;XPML11;None
FII TRX REALCI;2024-07-18T14:16:06,000Z;107,97;108,25;107,91;10880;TRXF11;None
BRASIL      ON      NM;2024-07-18T14:12:39,000Z;27,35;27,63;27,31;2144300;BBAS3;4,0604768
BTGP BANCO  UNT EJ  N2;2024-07-18T14:14:23,000Z;32,16;32,49;32,1;650700;BPAC11;None
ELETROBRAS  ON      N1;2024-07-18T14:15:26,000Z;38,29;38,77;38,19;1376100;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-18T14:16:08,000Z;25,5;25,87;25,36;931400;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-18T14:12:03,000Z;42,3;42,92;42,27;42600;ORVR3;1,3348965
COSAN       ON      NM;2024-07-18T14:12:54,000Z;14,12;14,33;14,06;1686100;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-18T14:14:37,000Z;10,26;10,38;10,26;2402700;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-18T14:14:45,000Z;21,47;21,6;21,46;380700;KLBN11;None
COPASA      ON      NM;2024-07-18T14:14:01,000Z;20,43;20,67;20,4;161700;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-18T14:16:07,000Z;26,72;27,09;26,56;201400;SAPR11;None
PORTO SEGUROON      NM;2024-07-18T14:16:11,000Z;30,94;31;30,67;370600;PSSA3;4,0028974
TIM         ON      NM;2024-07-18T14:16:11,000Z;16,94;17,02;16,85;477900;TIMS3;1,1721633
TELEF BRASILON;2024-07-18T14:16:07,000Z;49,76;50,1;49,64;216300;VIVT3;3,072659
FII RIZA TX CI;2024-07-19T14:12:53,000Z;94,48;94,5;94,03;1133;RZTR11;None
FIAGRO XP CACI;2024-07-19T14:14:44,000Z;8,18;8,22;8,14;12086;XPCA11;None
FII BEES CRICI;2024-07-19T14:13:09,000Z;67,28;67,3;67,14;262;BCRI11;None
FII XP CRED CI;2024-07-19T14:12:33,000Z;87,52;87,66;87,35;167;XPCI11;None
FII MERITO ICI;2024-07-19T14:11:26,000Z;101,28;101,45;101,11;227;MFII11;None
FII TG ATIVOCI;2024-07-19T14:15:44,000Z;119,99;120,36;119,89;1995;TGAR11;None
FII BC FUND CI  ER;2024-07-19T14:15:52,000Z;50,97;51,4;50,9;1804;BRCR11;None
FII VINCI OFCI;2024-07-19T14:14:41,000Z;6,24;6,24;6,21;13518;VINO11;None
FII BC FFII CI  ER;2024-07-19T14:11:26,000Z;8,61;8,66;8,6;35890;BCFF11;None
FII XP SELECCI;2024-07-19T14:15:19,000Z;7,74;7,77;7,73;6394;XPSF11;None
FII BTLG    CI;2024-07-19T14:14:54,000Z;101,48;101,55;101,18;7369;BTLG11;None
FII VBI LOG CI;2024-07-19T14:13:59,000Z;116,12;116,12;115,81;669;LVBI11;None
FII VINCI LGCI;2024-07-19T14:15:50,000Z;91,26;91,69;91,18;838;VILG11;None
FII XP LOG  CI;2024-07-19T14:11:43,000Z;103,88;103,89;103,61;1796;XPLG11;None
FII HEDGEBS CI;2024-07-19T14:15:55,000Z;217,8;218,49;217,7;462;HGBS11;None
FII VINCI SCCI;2024-07-19T14:11:46,000Z;114,27;114,67;114,05;4030;VISC11;None
FII XP MALLSCI;2024-07-19T14:15:54,000Z;112,9;113,38;112,61;11751;XPML11;None
FII TRX REALCI;2024-07-19T14:15:55,000Z;107,72;107,99;107,65;2874;TRXF11;None
BRASIL      ON      NM;2024-07-19T14:14:20,000Z;27,29;27,43;27,19;2549300;BBAS3;4,0604768
BTGP BANCO  UNT EJ  N2;2024-07-19T14:15:50,000Z;32,09;32,24;31,68;627100;BPAC11;None
ELETROBRAS  ON      N1;2024-07-19T14:14:02,000Z;37,35;37,9;37,35;556500;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-19T14:15:53,000Z;24,75;24,99;24,15;8586700;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-19T14:15:06,000Z;43;43,16;42,07;44700;ORVR3;1,3348965
COSAN       ON      NM;2024-07-19T14:15:58,000Z;14,04;14,08;13,8;1113600;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-19T14:13:50,000Z;10,38;10,4;10,27;1270600;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-19T14:14:02,000Z;21,68;21,71;21,42;265000;KLBN11;None
COPASA      ON      NM;2024-07-19T14:15:48,000Z;20,38;20,59;20,37;114000;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-19T14:15:43,000Z;26,28;26,7;26,25;134100;SAPR11;None
PORTO SEGUROON      NM;2024-07-19T14:15:46,000Z;30,85;31,06;30,82;93200;PSSA3;4,0028974
TIM         ON      NM;2024-07-19T14:16:00,000Z;16,79;16,84;16,49;639100;TIMS3;1,1721633
TELEF BRASILON;2024-07-19T14:13:58,000Z;49,52;49,84;49,24;1045500;VIVT3;3,072659
FII RIZA TX CI;2024-07-22T14:14:46,000Z;95,29;95,48;94,57;6594;RZTR11;None
FIAGRO XP CACI;2024-07-22T14:14:39,000Z;8,18;8,28;8,16;32317;XPCA11;None
FII BEES CRICI;2024-07-22T14:15:01,000Z;67,22;67,22;67,11;1271;BCRI11;None
FII XP CRED CI;2024-07-22T14:15:40,000Z;87,37;87,51;86,72;7985;XPCI11;None
FII MERITO ICI;2024-07-22T14:15:27,000Z;101,29;101,38;101,1;1812;MFII11;None
FII TG ATIVOCI;2024-07-22T14:15:38,000Z;120,49;120,74;120;12281;TGAR11;None
FII BC FUND CI;2024-07-22T14:15:36,000Z;51,08;51,28;51;6253;BRCR11;None
FII VINCI OFCI;2024-07-22T14:14:54,000Z;6,32;6,33;6,28;38691;VINO11;None
FII BC FFII CI;2024-07-22T14:15:40,000Z;8,51;8,6;8,5;118671;BCFF11;None
FII XP SELECCI;2024-07-22T14:15:35,000Z;7,78;7,81;7,72;13193;XPSF11;None
FII BTLG    CI  ER;2024-07-22T14:14:55,000Z;102,64;102,7;102,05;17595;BTLG11;None
FII VBI LOG CI;2024-07-22T14:15:41,000Z;115,82;116,56;115,53;6726;LVBI11;None
FII VINCI LGCI;2024-07-22T14:15:42,000Z;91,8;91,92;91,31;4111;VILG11;None
FII XP LOG  CI;2024-07-22T14:10:52,000Z;104,16;104,38;104,14;9177;XPLG11;None
FII HEDGEBS CI;2024-07-22T14:15:42,000Z;216,68;216,86;215,42;3432;HGBS11;None
FII VINCI SCCI;2024-07-22T14:14:53,000Z;114,53;114,7;114,43;12956;VISC11;None
FII XP MALLSCI;2024-07-22T14:15:43,000Z;113,1;113,21;112,61;29179;XPML11;None
FII TRX REALCI;2024-07-22T14:15:38,000Z;108,01;108,14;107,9;12393;TRXF11;None
BRASIL      ON      NM;2024-07-22T14:15:00,000Z;27,18;27,25;27,02;1927200;BBAS3;4,0604768
BTGP BANCO  UNT     N2;2024-07-22T14:11:17,000Z;32,2;32,22;31,85;626200;BPAC11;None
ELETROBRAS  ON      N1;2024-07-22T14:13:52,000Z;37,68;37,75;37,01;2000600;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-22T14:15:00,000Z;24,6;24,79;24,42;3847100;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-22T14:15:35,000Z;42,98;42,98;42,27;20100;ORVR3;1,3348965
COSAN       ON      NM;2024-07-22T14:12:19,000Z;14,03;14,03;13,92;725800;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-22T14:15:44,000Z;10,37;10,4;10,32;3893500;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-22T14:13:33,000Z;21,86;21,92;21,43;964800;KLBN11;None
COPASA      ON      NM;2024-07-22T14:12:20,000Z;21;21,07;20,38;384400;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-22T14:15:06,000Z;26,62;26,62;26,22;113000;SAPR11;None
PORTO SEGUROON      NM;2024-07-22T14:11:39,000Z;30,28;30,33;30,18;90700;PSSA3;4,0028974
TIM         ON      NM;2024-07-22T14:15:43,000Z;16,86;16,88;16,65;635400;TIMS3;1,1721633
TELEF BRASILON;2024-07-22T14:15:00,000Z;49,47;49,54;48,94;234700;VIVT3;3,072659
FII RIZA TX CI;2024-07-23T14:14:45,000Z;95,06;95,48;94,65;6858;RZTR11;None
FIAGRO XP CACI;2024-07-23T14:15:01,000Z;8,23;8,25;8,22;23337;XPCA11;None
FII BEES CRICI;2024-07-23T14:14:59,000Z;66,9;67,3;66,84;2079;BCRI11;None
FII XP CRED CI;2024-07-23T14:15:23,000Z;87,38;87,42;87,06;959;XPCI11;None
FII MERITO ICI;2024-07-23T14:14:24,000Z;101,06;101,38;101;1963;MFII11;None
FII TG ATIVOCI;2024-07-23T14:15:28,000Z;121,09;121,29;120,67;7485;TGAR11;None
FII BC FUND CI;2024-07-23T14:15:20,000Z;51,31;51,4;51,11;4226;BRCR11;None
FII VINCI OFCI;2024-07-23T14:14:51,000Z;6,4;6,45;6,37;22440;VINO11;None
FII BC FFII CI;2024-07-23T14:13:51,000Z;8,48;8,5;8,45;63700;BCFF11;None
FII XP SELECCI;2024-07-23T14:14:22,000Z;7,79;7,81;7,77;10418;XPSF11;None
FII BTLG    CI  ER;2024-07-23T14:15:01,000Z;102,07;102,4;101,9;11309;BTLG11;None
FII VBI LOG CI;2024-07-23T14:15:26,000Z;115,64;116;115,52;3649;LVBI11;None
FII VINCI LGCI;2024-07-23T14:15:24,000Z;91,79;92,2;91,72;1871;VILG11;None
FII XP LOG  CI;2024-07-23T14:15:00,000Z;104,1;104,33;104,01;5892;XPLG11;None
FII HEDGEBS CI;2024-07-23T14:15:32,000Z;217,05;218;216,5;1232;HGBS11;None
FII VINCI SCCI;2024-07-23T14:14:40,000Z;114,7;115;114,54;5886;VISC11;None
FII XP MALLSCI;2024-07-23T14:15:34,000Z;112,87;113,15;112,71;21161;XPML11;None
FII TRX REALCI;2024-07-23T14:15:34,000Z;107,82;108;107,71;10108;TRXF11;None
BRASIL      ON      NM;2024-07-23T14:12:31,000Z;27,17;27,19;27,09;1887400;BBAS3;4,0604768
BTGP BANCO  UNT     N2;2024-07-23T14:11:16,000Z;32,08;32,28;32,01;930800;BPAC11;None
ELETROBRAS  ON      N1;2024-07-23T14:13:47,000Z;37,34;37,95;37,28;642500;ELET3;1,9260051
TRAN PAULISTPN      N1;2024-07-23T14:13:36,000Z;24,63;24,74;24,57;489300;TRPL4;4,1514681
ORIZON      ON      NM;2024-07-23T14:15:21,000Z;43,35;43,68;43,08;11200;ORVR3;1,3348965
COSAN       ON      NM;2024-07-23T14:15:04,000Z;13,86;14,06;13,8;1051000;CSAN3;0,9669133
ITAUSA      PN      N1;2024-07-23T14:15:00,000Z;10,34;10,37;10,29;1623900;ITSA4;1,3782576
KLABIN S/A  UNT     N2;2024-07-23T14:15:18,000Z;22,06;22,09;21,82;797200;KLBN11;None
COPASA      ON      NM;2024-07-23T14:12:49,000Z;21,76;21,84;21,16;365400;CSMG3;3,6742073
SANEPAR     UNT     N2;2024-07-23T14:15:17,000Z;26,59;26,77;26,45;125900;SAPR11;None
PORTO SEGUROON      NM;2024-07-23T14:15:01,000Z;30,29;30,65;30,24;109400;PSSA3;4,0028974
TIM         ON      NM;2024-07-23T14:15:31,000Z;16,78;16,96;16,75;440000;TIMS3;1,1721633
TELEF BRASILON;2024-07-23T14:15:00,000Z;49,33;49,88;49,21;291600;VIVT3;3,072659
